indicator_id,efsa_consequence,efsa_abm,wq_principle,wq_criterion,wq_measure,maroto_molina_technology,maroto_molina_feasible,notes,tier
I013,Restriction of movement and resting problems,Frequency of lying bouts,,,,Pedometers and accelerometers give lying time and lying bouts,yes,EFSA Table 33,efsa_only
I014,Restriction of movement and resting problems,Duration of lying down movement,Good housing,Comfort around resting,Time needed to lie down,No system found; computer vision for cow posture proposed,partial,EFSA Table 33 defines the lying down sequence in Welfare Quality terms,joined
I015,Restriction of movement and resting problems,"Deviation from normal, uninterrupted getting up movement",,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 33. Maroto Molina propose posture monitoring for lying down, collisions and positioning, not for getting up",efsa_only
I016,Restriction of movement and resting problems,Lying behaviour synchronisation,,,,Not discussed by Maroto Molina,not_covered,EFSA Table 33,efsa_only
I017,Inability to perform comfort behaviour,Self-grooming,,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 42, direct observation, feasibility low",efsa_only
I018,Inability to perform comfort behaviour,Brush use,,,,Not discussed by Maroto Molina,not_covered,EFSA Table 42 notes brush use can be detected through sensors but calls the reliability questionable,efsa_only
I019,Inability to perform comfort behaviour,Allo-grooming,,,,Proximity loggers and location systems have been used to detect grooming,partial,"EFSA Table 42, at cow individual level",efsa_only
I020,Metabolic disorders,Clinical ketosis: clinical case incidence rate,,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 46, Keto-c",efsa_only
I021,Metabolic disorders,Subclinical ketosis: individual cow milk constituents,,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 46, Keto-sc, milk fat to protein ratio at routine milk recording",efsa_only
I022,Metabolic disorders,Subclinical ketosis: individual cow beta-hydroxybutyrate or ketones,,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 46, Keto-sc",efsa_only
I023,Metabolic disorders,Subclinical ketosis: body condition scoring,Good feeding,Absence of prolonged hunger,Body condition score,DeLaval BCS 3D camera with proprietary algorithms on a 5 point scale; walkover weighing scales and scales in milking robots,yes,"EFSA Table 46 cites Welfare Quality 2009 for body condition scoring, so the join rule is met, but the scales differ: EFSA describes a 1 to 5 scale, the Welfare Quality protocol scores 0, 1 or 2. Welfare Quality uses the measure under absence of prolonged hunger, EFSA under subclinical ketosis. Flagged for Kevin",joined
I024,Metabolic disorders,Left displaced abomasum: clinical case incidence rate,,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 46, LDA",efsa_only
I025,Metabolic disorders,Subacute ruminal acidosis: individual cow milk constituents,,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 46, SARA",efsa_only
I026,Metabolic disorders,Subacute ruminal acidosis: rumen pH by rumenocentesis,,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 46, SARA",efsa_only
I027,Metabolic disorders,Subacute ruminal acidosis: rumen pH by rumen bolus,,,,"Reticular boluses are discussed for temperature, not for pH",not_covered,"EFSA Table 46, SARA. Commercial acidosis boluses appear in the Stygar product list",efsa_only
I028,Metabolic disorders,Clinical hypocalcaemia: clinical case incidence rate,,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 46, Hypocal-c",efsa_only
I029,Metabolic disorders,Subclinical hypocalcaemia: incidence rate,,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 46, Hypocal-sc",efsa_only
I030,,,Good feeding,Absence of prolonged thirst,Water provision,RFID combined with flowmeters to measure water consumption per cow; reticular temperature boluses as an indirect route,partial,"Maroto argues that monitoring the number of water points has no relevance once intake itself can be measured, so this is a substitute measure",wq_only
I031,,,Good feeding,Absence of prolonged thirst,Cleanliness of water points,"Turbidity sensors, or cleanliness assumed adequate when water intake is normal",partial,,wq_only
I032,,,Good feeding,Absence of prolonged thirst,Water flow,Flowmeters combined with RFID,partial,"Substitute measure, water consumption rather than flow at the point",wq_only
I033,,,Good feeding,Absence of prolonged thirst,Functioning of water points,Flowmeters combined with RFID,partial,Substitute measure,wq_only
I034,,,Good housing,Comfort around resting,Animals colliding with housing equipment during lying down,No system found; computer vision for cow posture proposed,partial,,wq_only
I035,,,Good housing,Comfort around resting,Animals lying partly or completely outside the lying area,No system found; computer vision detecting cows at cubicles proposed,partial,,wq_only
I036,,,Good housing,Comfort around resting,Cleanliness of udders,No automatic system found; image analysis adapted from faeces detection on carcasses proposed,partial,,wq_only
I037,,,Good housing,Comfort around resting,Cleanliness of flank/upper legs,No automatic system found; image analysis proposed,partial,,wq_only
I038,,,Good housing,Comfort around resting,Cleanliness of lower legs,No automatic system found; image analysis proposed,partial,,wq_only
I039,,,Good housing,Thermal comfort,,Weather stations computing the temperature humidity index; activity monitoring systems; reticular boluses,yes,Welfare Quality defines no measure for thermal comfort. Maroto says it can be automated easily,wq_only
I040,,,Good housing,Ease of movement,Presence of tethering,"Indoor location systems: RFID such as CowView, Bluetooth, ultrawideband, or image processing",yes,,wq_only
I041,,,Good housing,Ease of movement,Access to outdoor loafing area or pasture,"GPS tracking, with satellite imagery to tell a loafing area from pasture",yes,,wq_only
I042,,,Good health,Absence of disease,Coughing,Sound analysis for coughs associated with bovine respiratory disease,partial,Research level,wq_only
I043,,,Good health,Absence of disease,Nasal discharge,No specific system; body temperature sensors integrated with feed and water intake proposed,partial,,wq_only
I044,,,Good health,Absence of disease,Ocular discharge,No specific system; body temperature sensors integrated with feed and water intake proposed,partial,,wq_only
I045,,,Good health,Absence of disease,Hampered respiration,Sound analysis; image analysis tested in pigs,partial,Research level,wq_only
I046,,,Good health,Absence of disease,Diarrhoea,No automatic system identified; image based solutions proposed,partial,,wq_only
I047,,,Good health,Absence of disease,Vulvar discharge,Electronic noses used on vaginal discharge but not automatic; oestrus monitoring proposed as sufficient,partial,Maroto treats oestrus monitoring as the practical substitute,wq_only
I048,,,Good health,Absence of disease,Mortality,Farmer records; sensors serve prevention rather than measurement,partial,,wq_only
I049,,,Good health,Absence of disease,Dystocia,Farmer records; calving prediction systems for assistance,partial,,wq_only
I050,,,Good health,Absence of disease,Downer cows,Farmer records; sensors serve prevention rather than measurement,partial,,wq_only
I051,,,Good health,Absence of pain induced by management procedures,Disbudding/Dehorning,Sensors cannot provide the measure; pain monitoring and facial expression analysis are research topics,no,,wq_only
I052,,,Good health,Absence of pain induced by management procedures,Tail docking,Sensors cannot provide the measure; pain monitoring is a research topic,no,,wq_only
I053,,,Good behaviour,Expression of other behaviours,Access to pasture,GPS tracking and satellite imagery,yes,,wq_only
I054,,,Good behaviour,Good human-animal relationship,Avoidance distance,No individual level solution available; video imaging used in bird flocks; Bluetooth and radio sensor networks proposed; infrared thermography for fear responses,partial,,wq_only
I055,,,Good behaviour,Positive emotional state,Qualitative behaviour assessment,"Image and video analysis of facial expression, ear posture and eye white; sound analysis",partial,,wq_only
I056,Metabolic disorders,Subclinical hypocalcaemia: blood calcium levels within days post-calving,,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 46, Hypocal-sc: serum calcium at or below 2.14 mM in a blood sample 24 to 48 hours after calving. Missed in the first extraction and added after the audit of 16 September 2026",efsa_only
I057,,,Good health,Absence of disease,Milk somatic cell count,"Near infrared spectroscopy, including individual cow measurement inside milking robots",yes,Welfare Quality takes it from individual cow milk records for the three months before the farm visit (protocol page 35). Split from the EFSA bulk milk row (I007) after the audit of 16 September 2026,wq_only
