product_id,vendor,product,sensor_type,measures_claimed,species,country,stygar_listed,stygar_validation,icar_validated,source,marketing_url,manual_url,devdocs_url,patent_urls,comparator,notes
P011,Lely,Lely Astronaut A4,milking_system,monitor and analyse the milk production performance,dairy cattle,Netherlands,yes,none,no,stygar,https://www.lely.com/solutions/milking/astronaut-a4/,,,,no,"No external validation study found by Stygar. The current generation is the Astronaut A5 Next, to check in the market scan. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P012,DeLaval,Herd Navigator,other,"Analysis of individual progesterone, LDH and BHB leves in milk for health and heat meassurement, every milking",dairy cattle,Sweden,yes,none,no,stygar,https://www.delaval.com/en-ie/our-solutions/farm-management/delpro-precision-analytics/herd-navigator/,,,,no,"No external validation study found by Stygar. In line milk biomarker analysis, progesterone, LDH and BHB. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P013,GEA,CowScout (S neck tag and Leg tag),collar_accelerometer,"Monitoring activity (standing, walking, lying) for heat detection, and health",dairy cattle,Germany,yes,external_self,no,stygar,https://www.accelgen.com/upload/product/files/english/0412gea-cow-scout-brochure-lr.pdf,,,,no,"Stygar Table 1 lists the validated product as CowScout Leg, one study, ref 27 (Nielsen 2018), coded external self validation. The appendix row is CowScout S. Coded to the leg version until the market scan confirms the current product names. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P014,Connecterra,Ida,collar_accelerometer,"Monitoring activity for heat detection and health, rumination and feeding times",dairy cattle,Netherlands,yes,none,no,stygar,https://ida.io/ida-for-farmers/,,,,no,"No external validation study found by Stygar. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P015,BouMatic,StepMatrix,other,"Analyzes gat pressure to detect limp, for lameness diagnosis",dairy cattle,USA,yes,external_independent,no,stygar,https://kruegersboumatic.com/automation/stepmetrix/,,,,no,"Ref 54 (Bicalho 2007) is external independent validation. Stygar spell it Stepmetrix. Load cell walkover plate for lameness detection. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P016,IceRobotics,IceQube and CowAlert,other,"Monitoring activity (lying, walking, rumination), Early detection and warning of lameness, health alerts",dairy cattle,UK,yes,external_independent,no,stygar,https://www.icerobotics.com/wp-content/uploads/2019/07/Lameness-Detection_June19.pdf,,,,no,"Stygar Table 1 places refs 21 and 26 to 28 in the independent validation column, while their supplementary Table 2 codes ref 27 (Nielsen 2018) as external self validation; the two sources disagree on ref 27. The coded value rests on refs 21, 26 and 28. Leg mounted accelerometer. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P017,Smartbow (Zoetis),Smartbow,ear_tag,"Monitoring activity for heat detection and health, rumination and feeding times, lying behaviour",dairy cattle,Austria,yes,external_independent,no,stygar,https://www.smartbow.com/en/how-it-works.aspx,,,,no,"Ref 21 (Borchers 2016) is external independent validation. Ear tag combining accelerometer with indoor location. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P018,Ekomilk (Horizon Ltd),Ekomilk Horizon Unlimited Instrument,other,Milk composition: somatic cell count and milk parameters,dairy cattle,Bulgaria,no,not_listed,yes,icar,,,,,no,"On the ICAR validated sensor systems list as of 16 September 2026, the only three systems ICAR has validated. Included because ICAR is the nearest existing validation scheme, not because a welfare claim is expected. Whether it makes one is a finding of the register. Validation report saved in corpus."
P019,Brolis Sensor Systems,Brolis BLH01 in line sensor,other,Milk composition: milk fat and milk protein,dairy cattle,Lithuania,no,not_listed,yes,icar,,,,,no,"On the ICAR validated sensor systems list as of 16 September 2026, the only three systems ICAR has validated. Included because ICAR is the nearest existing validation scheme, not because a welfare claim is expected. Whether it makes one is a finding of the register. Validation report saved in corpus."
P020,Panazoo Italiana SRL,Panazoo MMI milk yield sensor system,other,Milk yield,dairy cattle,Italy,no,not_listed,yes,icar,,,,,no,"On the ICAR validated sensor systems list as of 16 September 2026, the only three systems ICAR has validated. Included because ICAR is the nearest existing validation scheme, not because a welfare claim is expected. Whether it makes one is a finding of the register. Validation report saved in corpus."
P021,AI4Animals,AI4Animals slaughterhouse monitoring,camera,"Monitoring of animal handling and stunning at slaughter, with a welfare metrics dashboard",cattle and pigs,Netherlands,no,not_listed,no,course,,,,,yes,"Comparator, not a dairy farm product and outside the dairy count. Built with welfare organisations and presented as accountability focused, so it tests whether a system built by welfare people scores better on column 4. The course talk is not in the corpus; details come from public web sources and are saved to corpus/vendors when captured."
